Year,Month,World,Education,Home & Garden,Great Homes & Destinations,Science,The Learning Network,Giving,Obituaries,Theater,Universal,Arts,The Upshot,Front Page,Real Estate,Corrections,Automobiles,International Home,Times Insider,"Great Homes, Destinations",Opinion,Books,Travel,Blogs,Food,Fashion & Style,Briefing,U.S.,Magazine,Crosswords & Games,Technology,Podcasts,Health,Movies,NYT Now,National,Multimedia,Unknown,N.Y. / Region,Sunday Review,Watching,Booming,Your Money,Times Topics,Dining & Wine,Business,Public Editor,T:Style,Washington,Well,Open,Sports,T Magazine,Week in Review,Job Market,New York
2015,1,27.32919255,57.14285714,62.26415094,30,37.14285714,,,,18.42105263,3.571428571,33.15508021,15.09433962,,71.875,,0,,,,19.77715877,31.70731707,67.94871795,50,62.22222222,39.71631206,,31.96881092,26.66666667,8.771929825,35.97122302,,39.0625,36.84210526,0,,36.36363636,33.64197531,43.69369369,50,,,35.71428571,,,30.01631321,0,,,,0,9.330143541,47.61904762,,50,
2015,2,24.19354839,34.61538462,63.63636364,50,25,,,0,11.42857143,0,32.41252302,20.25316456,,66.15384615,,30,,0,,22.88135593,37.09677419,60.52631579,,53.65853659,39.35483871,,36.07305936,39.65517241,9.615384615,34.09090909,,40.96385542,31.66666667,5,,38.0952381,40.87481146,44.90861619,33.33333333,,,43.24324324,,,30.03472222,0,,,,,13.1147541,44,,40,
2015,3,29.89214176,25,45.45454545,42.85714286,30.33707865,,,,19.23076923,0,30.40345821,10.98901099,,61.97183099,,12.5,100,,,23.40966921,42.48366013,69.1588785,0,50.84745763,48.10126582,,30.87719298,32.89473684,5.172413793,36.87943262,,57.14285714,30.14705882,0,,50,37.87878788,47.33009709,25,,,41.30434783,,,30.12048193,0,,,,0,11.34751773,47.82608696,,42.85714286,
2015,4,28.80794702,29.41176471,,66.66666667,29.41176471,,,100,19.23076923,0,34.28093645,27.02702703,,58.57142857,,10,,,,23.07692308,42.27642276,69.76744186,0,57.33333333,41.71779141,,31.69811321,38.55421687,7.272727273,33.07086614,,42.85714286,29.05405405,22.72727273,,21.42857143,36.17810761,45.23809524,40,,,43.75,,,30.79646018,0,,,,100,17.37288136,58.82352941,,50,
2015,5,31.45695364,50,,87.5,29.16666667,,,100,23.75,0,38.03030303,19.11764706,,65,,16.66666667,,33.33333333,,21.09375,42.28571429,74.46808511,,62.5,44.79166667,,35.88785047,35.29411765,9.523809524,39.04761905,,49.15254237,23.71794872,28.57142857,,36.36363636,36.08617594,41.48681055,100,,,29.03225806,,,29.97987928,0,,,,,18.01980198,62.5,,16.66666667,
2015,6,36.5448505,41.66666667,,33.33333333,41.37931034,,,,25.67567568,0,35.22906793,16.88311688,,60.60606061,,18.18181818,,0,,22.9226361,37.32394366,64.04494382,25,61.40350877,44.84848485,,28.54330709,44.28571429,26.60550459,30.15873016,,56.81818182,30.59701493,50,,53.33333333,37.11151737,47.16049383,100,,,34.7826087,,,27.76617954,0,,,,,18.39323467,35.71428571,,0,
2015,7,28.39116719,75,,55.55555556,41.55844156,,,100,25.80645161,6.25,35.14851485,25,,52.94117647,,0,,0,,19.50549451,44.96124031,68.42105263,0,50,48.02259887,,30.81632653,43.75,5.263157895,12.6984127,,44.73684211,32.84671533,38.46153846,,41.37931034,40.07490637,49.87951807,20,,,33.33333333,,,24.91039427,,,,,,16.96832579,68.57142857,,25,
2015,8,29.39189189,36.36363636,,40,37.33333333,,,0,21.21212121,0,35.55555556,21.42857143,,63.01369863,,18.18181818,,35.48387097,,25.25773196,49.67741935,69.30693069,88.88888889,56.36363636,41.61849711,,30.13468013,32.91139241,10.41666667,26.98412698,,41.55844156,38.34586466,57.77777778,,51.61290323,50,44.68085106,20,,,15.625,0,,28.60892388,0,,,,,16.49484536,49.13793103,,42.85714286,
2015,9,29.70149254,31.25,,50,39.47368421,,,100,14.86486486,2.777777778,42.4,18.30985915,,63.76811594,,0,,21.42857143,,25.31328321,40.6504065,80.95238095,95.45454545,61.33333333,48,,29.395218,32.69230769,10.25641026,27.85714286,,38.70967742,31.78807947,58.69565217,,40,,41.66666667,66.66666667,,,58.33333333,0,,28.70588235,0,,,,,13.77358491,55.15151515,,0,
2015,10,30.01422475,33.33333333,,40,24.69135802,,,,23.71134021,3.03030303,29.16030534,17.56756757,,59.09090909,,6.25,,9.375,,20.04950495,39.2,67.46987952,100,60,47.2361809,,27.4559194,38.23529412,11.62790698,20,,39.6039604,37.85310734,75,,43.33333333,0,41.90981432,50,,,40,0,,36.52597403,0,,,,,13.14935065,52.04081633,,0,
2015,11,27.88605697,26.86567164,,66.66666667,36.61971831,,7.692307692,,31.94444444,11.53846154,32.58426966,21.56862745,,61.42857143,,33.33333333,,34.375,,28.35443038,43.58974359,72.28915663,100,41.93548387,41.93548387,,34.22291994,34.83146067,12.82051282,28.31858407,,52.17391304,41.09589041,66.66666667,,38.70967742,,43.30143541,50,,,32.35294118,0,,37.04453441,0,,,,,17.73195876,50.81967213,,20,
2015,12,24.96171516,33.96226415,,66.66666667,38.0952381,,,0,22.72727273,8.333333333,31.40655106,19.51219512,,61.76470588,0,0,,30,,27.27272727,42.38410596,71.79487179,100,48.23529412,47.27272727,,35.31746032,27.27272727,12.5,27.5862069,,44.82758621,38.50931677,47.91666667,,29.16666667,,46.56862745,0,,,44.44444444,0,,39.25438596,0,,,,,15.54054054,49.38271605,,33.33333333,
2016,1,26.08695652,38.33333333,,50,32.30769231,,,7.142857143,22.07792208,1.960784314,30.66914498,31.03448276,,56.52173913,,25,,33.33333333,,21.44772118,44.82758621,67.10526316,95,44.11764706,48.38709677,,34.32494279,40,7.317073171,24.62686567,,40.65934066,43.70860927,51.2195122,,40,,42.5,50,,,36.36363636,0,,38.46153846,0,,,,,12.77173913,66.05504587,,80,
2016,2,28.90909091,40,,,33.33333333,,,33.33333333,28.98550725,16.66666667,38.87775551,45.45454545,,57.40740741,,0,,19.23076923,,27.46666667,46.90265487,58.10810811,100,41.09589041,46.41148325,,38.63354037,40.29850746,11.62790698,25.56390977,,39.56043956,43.47826087,51.11111111,,21.73913043,0,43.13099042,100,,,33.33333333,0,,38.3248731,0,,,,,18.15286624,78.97727273,,0,
2016,3,27.95527157,32.35294118,,,36.36363636,,,50,26.82926829,14.28571429,39.39393939,40.625,,61.53846154,,14.28571429,,21.62162162,,25.06666667,47.05882353,70,100,48.86363636,43.93939394,,36.99015471,36.50793651,9.302325581,18.18181818,,42.7480916,32.63888889,57.69230769,,54.16666667,100,47.09480122,100,,,46.875,0,,34.71264368,0,,,,,19.75308642,71.94244604,,33.33333333,
